AVG	SEARCHED
17.333333333333332	_EPS_0.006_Samp_13
15.25	_EPS_0.006_Samp_15
43.0	_EPS_0.006_Samp_17
38.5	_EPS_0.006_Samp_19
35.75	_EPS_0.006_Samp_21
33.0	_EPS_0.006_Samp_23
31.0	_EPS_0.006_Samp_25
28.5	_EPS_0.006_Samp_27
27.5	_EPS_0.006_Samp_29
26.25	_EPS_0.006_Samp_31
25.5	_EPS_0.006_Samp_33
24.25	_EPS_0.006_Samp_35
22.75	_EPS_0.006_Samp_37
21.75	_EPS_0.006_Samp_39
20.25	_EPS_0.006_Samp_41
19.0	_EPS_0.006_Samp_43
18.75	_EPS_0.006_Samp_45
18.5	_EPS_0.006_Samp_47
18.0	_EPS_0.006_Samp_49
17.75	_EPS_0.006_Samp_51
17.0	_EPS_0.006_Samp_53
16.5	_EPS_0.006_Samp_55
16.0	_EPS_0.006_Samp_57
15.75	_EPS_0.006_Samp_59
15.5	_EPS_0.006_Samp_61
15.25	_EPS_0.006_Samp_63
15.25	_EPS_0.006_Samp_65
15.25	_EPS_0.006_Samp_67
14.75	_EPS_0.006_Samp_69
14.5	_EPS_0.006_Samp_71
14.0	_EPS_0.006_Samp_73
14.0	_EPS_0.006_Samp_75
13.75	_EPS_0.006_Samp_77
13.5	_EPS_0.006_Samp_79
13.25	_EPS_0.006_Samp_81
13.0	_EPS_0.006_Samp_83
13.0	_EPS_0.006_Samp_85
12.75	_EPS_0.006_Samp_87
12.5	_EPS_0.006_Samp_89
12.5	_EPS_0.006_Samp_91
12.25	_EPS_0.006_Samp_93
12.0	_EPS_0.006_Samp_95
11.75	_EPS_0.006_Samp_97
11.75	_EPS_0.006_Samp_99
11.5	_EPS_0.006_Samp_101
11.5	_EPS_0.006_Samp_103
11.25	_EPS_0.006_Samp_105
11.25	_EPS_0.006_Samp_107
11.25	_EPS_0.006_Samp_109
11.25	_EPS_0.006_Samp_111
11.25	_EPS_0.006_Samp_113
11.25	_EPS_0.006_Samp_115
11.0	_EPS_0.006_Samp_117
10.75	_EPS_0.006_Samp_119
10.75	_EPS_0.006_Samp_121
10.75	_EPS_0.006_Samp_123
10.75	_EPS_0.006_Samp_125
10.5	_EPS_0.006_Samp_127
10.5	_EPS_0.006_Samp_129
10.5	_EPS_0.006_Samp_131
10.25	_EPS_0.006_Samp_133
10.0	_EPS_0.006_Samp_135
10.0	_EPS_0.006_Samp_137
10.0	_EPS_0.006_Samp_139
9.75	_EPS_0.006_Samp_141
9.5	_EPS_0.006_Samp_143
9.5	_EPS_0.006_Samp_145
