A,B,C,D
4.3886e+05,1.4877e+12,41.806,-72.253
4.3886e+05,1.4877e+12,41.806,-72.251
4.3886e+05,1.4877e+12,41.806,-72.251
4.3886e+05,1.4877e+12,41.806,-72.251
4.3886e+05,1.4877e+12,41.804,-72.252
4.3886e+05,1.4877e+12,41.803,-72.251
4.3886e+05,1.4877e+12,41.807,-72.254
4.3886e+05,1.4877e+12,41.807,-72.254
4.3886e+05,1.4878e+12,41.804,-72.249
4.3886e+05,1.4878e+12,41.804,-72.249
4.3886e+05,1.4878e+12,41.806,-72.253
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.806,-72.253
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.807,-72.255
4.3886e+05,1.4878e+12,41.806,-72.253
4.3886e+05,1.4878e+12,41.804,-72.252
4.3886e+05,1.4878e+12,41.803,-72.251
4.3886e+05,1.4878e+12,41.804,-72.253
4.3886e+05,1.4878e+12,41.804,-72.253
4.3886e+05,1.4878e+12,41.811,-72.251
4.3886e+05,1.4878e+12,41.813,-72.253
4.3886e+05,1.4878e+12,41.812,-72.254
4.3886e+05,1.4878e+12,41.814,-72.254
4.3886e+05,1.4878e+12,41.812,-72.254
4.3886e+05,1.4878e+12,41.813,-72.254
4.3886e+05,1.4878e+12,41.812,-72.254
4.3886e+05,1.4878e+12,41.814,-72.254
4.3886e+05,1.4878e+12,41.812,-72.254
4.3886e+05,1.4878e+12,41.814,-72.255
4.3886e+05,1.4878e+12,41.803,-72.251
4.3886e+05,1.4878e+12,41.804,-72.251
4.3886e+05,1.4878e+12,41.806,-72.255
4.3886e+05,1.4878e+12,41.806,-72.256
4.3886e+05,1.4878e+12,41.806,-72.256
4.3886e+05,1.4878e+12,41.806,-72.255
4.3886e+05,1.4878e+12,41.805,-72.254
4.3886e+05,1.4878e+12,41.803,-72.25
4.3886e+05,1.4878e+12,41.805,-72.254
4.3886e+05,1.4878e+12,41.801,-72.255
4.3886e+05,1.4878e+12,41.802,-72.254
4.3886e+05,1.4878e+12,41.803,-72.254
4.3886e+05,1.4878e+12,41.802,-72.25
4.3886e+05,1.4878e+12,41.802,-72.251
4.3886e+05,1.4878e+12,41.804,-72.253
4.3886e+05,1.4878e+12,41.795,-72.235
4.3886e+05,1.4878e+12,41.803,-72.25
4.3886e+05,1.4878e+12,41.802,-72.251
4.3886e+05,1.4878e+12,41.803,-72.25
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.802,-72.25
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.802,-72.25
4.3886e+05,1.4879e+12,41.802,-72.25
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.804,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.802,-72.25
4.3886e+05,1.4879e+12,41.802,-72.25
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.4879e+12,41.804,-72.249
4.3886e+05,1.4879e+12,41.804,-72.249
4.3886e+05,1.4879e+12,41.804,-72.249
4.3886e+05,1.4879e+12,41.804,-72.249
4.3886e+05,1.4879e+12,41.803,-72.25
4.3886e+05,1.4879e+12,41.805,-72.251
4.3886e+05,1.4879e+12,41.806,-72.251
4.3886e+05,1.4879e+12,41.806,-72.251
4.3886e+05,1.4879e+12,41.805,-72.254
4.3886e+05,1.4879e+12,41.802,-72.251
4.3886e+05,1.4879e+12,41.803,-72.25
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.804,-72.252
4.3886e+05,1.4879e+12,41.805,-72.253
4.3886e+05,1.4879e+12,41.804,-72.253
4.3886e+05,1.4879e+12,41.805,-72.254
4.3886e+05,1.4879e+12,41.804,-72.252
4.3886e+05,1.4879e+12,41.803,-72.25
4.3886e+05,1.4879e+12,41.805,-72.244
4.3886e+05,1.4879e+12,41.805,-72.244
4.3886e+05,1.4879e+12,41.804,-72.249
4.3886e+05,1.4879e+12,41.803,-72.251
4.3886e+05,1.488e+12,41.803,-72.25
4.3886e+05,1.488e+12,41.806,-72.251
4.3886e+05,1.488e+12,41.802,-72.25
4.3886e+05,1.488e+12,41.803,-72.25
4.3886e+05,1.488e+12,41.803,-72.251
4.3886e+05,1.488e+12,41.803,-72.251
4.3886e+05,1.488e+12,41.804,-72.253
4.3886e+05,1.488e+12,41.805,-72.259
4.3886e+05,1.488e+12,41.805,-72.259
4.3886e+05,1.488e+12,41.805,-72.259
4.3886e+05,1.488e+12,41.805,-72.259
4.3886e+05,1.488e+12,41.805,-72.259
4.3886e+05,1.488e+12,41.81,-72.257
4.3886e+05,1.488e+12,41.812,-72.252
4.3886e+05,1.488e+12,41.814,-72.254
4.3886e+05,1.488e+12,41.809,-72.254
4.3886e+05,1.488e+12,41.814,-72.255
4.3886e+05,1.488e+12,41.813,-72.254
4.3886e+05,1.488e+12,41.809,-72.257
4.3886e+05,1.488e+12,41.803,-72.251
4.3886e+05,1.488e+12,41.802,-72.251
4.3886e+05,1.488e+12,41.804,-72.249
4.3886e+05,1.488e+12,41.804,-72.249
4.3886e+05,1.488e+12,41.804,-72.249
4.3886e+05,1.488e+12,41.804,-72.249
4.3886e+05,1.488e+12,41.812,-72.254
4.3886e+05,1.488e+12,41.802,-72.251
4.3886e+05,1.488e+12,41.804,-72.247
4.3886e+05,1.488e+12,41.804,-72.252
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.803,-72.25
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.805,-72.254
4.3886e+05,1.4881e+12,41.811,-72.251
4.3886e+05,1.4881e+12,41.789,-72.204
4.3886e+05,1.4881e+12,41.793,-72.207
4.3886e+05,1.4881e+12,41.806,-72.245
4.3886e+05,1.4881e+12,41.804,-72.252
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.804,-72.252
4.3886e+05,1.4881e+12,41.805,-72.25
4.3886e+05,1.4881e+12,41.805,-72.25
4.3886e+05,1.4881e+12,41.805,-72.25
4.3886e+05,1.4881e+12,41.803,-72.25
4.3886e+05,1.4881e+12,41.803,-72.25
4.3886e+05,1.4881e+12,41.804,-72.253
4.3886e+05,1.4881e+12,41.804,-72.252
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4881e+12,41.803,-72.25
4.3886e+05,1.4881e+12,41.804,-72.249
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.806,-72.251
4.3886e+05,1.4881e+12,41.804,-72.247
4.3886e+05,1.4881e+12,41.803,-72.25
4.3886e+05,1.4881e+12,41.803,-72.251
4.3886e+05,1.4882e+12,41.802,-72.251
4.3886e+05,1.4882e+12,41.802,-72.251
